Npc显示类型	模型	贴图	动画	偏色	插槽1	武器名称1	插槽2	武器名称2	头像序号
翠烟首席娇小女	399.mesh	399.Mtl	399.Ani						
叶子丘	400.mesh	400.Mtl	400.Ani						
韩丹心	401.mesh	401.Mtl	401.Ani						
铁面	402.mesh	402.Mtl	402.Ani						
绝情	403.mesh	403.Mtl	403.Ani						
冰心	404.mesh	404.Mtl	404.Ani						
地煞	405.mesh	405.Mtl	405.Ani						
天阴机关匠人	407.mesh	407.Mtl	407.Ani						
星字机关人	408.mesh	408.Mtl	408.Ani						
天阴教机关1	409.mesh	409.Mtl	409.Ani						
天阴教机关2	410.mesh	410.Mtl	410.Ani						
武林盟护卫	411.mesh	411.Mtl	411.Ani		S_HR	065刀			
少阳弟子11	366.mesh	366.Mtl	366.Ani		S_HR	长剑7a			
文史弟子11	367.mesh	367.Mtl	367.Ani		S_HR	长剑7a			
隐形人阿亮2	452.mesh	452.Mtl	452.Ani						
天阴教机关11	409.mesh	409.Mtl	409.Ani						
隐形人阿亮3	452.mesh	452.Mtl	452.Ani		S_HR	双刀7b	S_HL	双刀7b	
清溪1	194.mesh	194a.mtl	194a.ani		S_HR	笔8a			
蓝旗圣旗	城门大旗.mesh	城门大旗蓝.Mtl	城门大旗.Ani						
黄旗圣旗	城门大旗.mesh	城门大旗黄.Mtl	城门大旗.Ani						
红旗圣旗	城门大旗.mesh	城门大旗.Mtl	城门大旗.Ani						
白旗圣旗	城门大旗.mesh	城门大旗白.Mtl	城门大旗.Ani						
黑旗圣旗	城门大旗.mesh	城门大旗黑.Mtl	城门大旗.Ani						
噬魂	080a.mesh	080a.Mtl	080a.Ani						
小小金虎	418.Mesh	418.Mtl	418.Ani						
玫瑰花红	155.mesh	155f.Mtl	155a.Ani						
玫瑰花黄	155.mesh	155g.Mtl	155a.Ani						
武当首席魁梧男地	380.mesh	380.Mtl	380.Ani		S_HR	076_剑			
峨嵋首席娇小女地	375.mesh	375.Mtl	375.Ani		S_HR	076_剑			
少林首席标准男地	368.mesh	368.Mtl	368.Ani		S_HR	065刀			
唐门首席娇小女地	373.mesh	373.Mtl	373.Ani						
明教首席娇小女地	397.mesh	397.Mtl	397.Ani		S_HL	爪8a	S_HR	爪8a	
昆仑首席魁梧男地	393.mesh	393.Mtl	393.Ani		S_HR	076_剑			
明教首席标准男地	395.mesh	395.Mtl	395.Ani		S_HR	065刀			
五毒首席魁梧男地	388.mesh	388.Mtl	388.Ani		S_HR	双刀7b	S_HL	双刀7b	
明教首席性感女地	396.mesh	396.Mtl	396.Ani		S_HR	065刀			
丐帮首席娇小女地	379.mesh	379.Mtl	379.Ani						
婉清儿	419.Mesh	419.Mtl	419.Ani		S_HR	076_剑	S_HL	双刀8a	
逍遥标准男	423.Mesh	423.Mtl	423.Ani						
逍遥魁梧男	422.Mesh	422.Mtl	422.Ani						
逍遥性感女	420.Mesh	420.Mtl	420.Ani						
逍遥娇小女	421.Mesh	421.Mtl	421.Ani						
邮箱	417.Mesh	417.Mtl	417.Ani						
摘星手迟东	424.Mesh	424.Mtl	424.Ani		S_HR	武当剑10			
铸月锤李壕	425.Mesh	425.Mtl	425.Ani		S_HR	杨门枪10			
融日火谭娜	426.Mesh	426.Mtl	426.Ani		S_HR	明教刀10			
小浣熊	427.Mesh	427.Mtl	427.Ani						
五行使金大	320.mesh	320.Mtl	320.Ani		S_RH	320aw			
五行使木大	320.mesh	320b.Mtl	320.Ani		S_RH	320wb			
五行使水大	320.mesh	320c.Mtl	320.Ani		S_RH	320wc			
五行使火大	320.mesh	320d.Mtl	320.Ani		S_RH	320wd			
五行使土大	320.mesh	320e.Mtl	320.Ani		S_RH	320we			
镖车1	428.Mesh	428.Mtl	428.Ani						
镖车2	428a.Mesh	428a.Mtl	428.Ani						
镖车3	428b.Mesh	428b.Mtl	428.Ani						
镖车4	428c.Mesh	428c.Mtl	428.Ani						
镖车5	428d.Mesh	428d.Mtl	428.Ani						
洛飞	430.Mesh	430.Mtl	430.Ani		S_HR	昆仑剑10			
秋若水	431.Mesh	431.Mtl	431.Ani		S_HR	峨眉剑10			
杂兵标准	433.Mesh	433.Mtl	433.Ani		S_HR	076_剑			
杂兵魁梧	434.Mesh	434.Mtl	434.Ani		S_HR	076_剑			
杂兵性感	435.Mesh	435.Mtl	435.Ani		S_HR	076_剑			
杂兵娇小	436.Mesh	436.Mtl	436.Ani		S_HR	076_剑			
隐形人1	452.mesh	452.Mtl	452.Ani		S_HR	长剑4a			
隐形人2	452.mesh	452.Mtl	452.Ani		S_HR	长剑4b			
隐形人3	452.mesh	452.Mtl	452.Ani		S_HR	长剑5a			
隐形人4	452.mesh	452.Mtl	452.Ani		S_HR	长剑5b			
隐形人5	452.mesh	452.Mtl	452.Ani		S_HR	长剑6a			
隐形人6	452.mesh	452.Mtl	452.Ani		S_HR	长剑6b			
隐形人7	452.mesh	452.Mtl	452.Ani		S_HR	长剑7a			
隐形人8	452.mesh	452.Mtl	452.Ani		S_HR	长剑7b			
隐形人9	452.mesh	452.Mtl	452.Ani		S_HR	长剑8a			
隐形人10	452.mesh	452.Mtl	452.Ani		S_HR	长剑1b			
剑无	392.mesh	392.Mtl	452.Ani		S_HR	武当剑10			
柴火点	437.mesh	437.Mtl	437.Ani						
太虚古树1	438a.Mesh	438a.Mtl	438.Ani						
太虚古树2	438b.Mesh	438b.Mtl	438.Ani						
太虚古树3	438c.Mesh	438c.Mtl	438.Ani						
太虚树成长阶段	439d.Mesh	439d.Mtl	438.Ani						
太虚树最终阶段	439e.Mesh	439e.Mtl	438.Ani						
跟随玉麒麟2	054.mesh	054b.Mtl	054a.Ani						
跟随小素仙	431.Mesh	431.Mtl	431.Ani		S_HR	峨眉剑10			
跟随小花圣	430.Mesh	430.Mtl	430.Ani		S_HR	昆仑剑10			
跟随吉祥小白虎	008.mesh	008b.Mtl	008a.Ani						
杂兵性感大	435.Mesh	435.Mtl	435.Ani		S_HR	076_剑			
跟随小牦牛	165.mesh	165a.Mtl	165a.Ani						
柴火点大	437.mesh	437.Mtl	437.Ani						
飞信白虎	439.mesh	439.Mtl	439.Ani						
飞信凤	440.mesh	440.Mtl	440.Ani						
飞信龙	441.mesh	441.Mtl	441.Ani						
飞信鹰	442.mesh	442.Mtl	442.Ani						
小雪人	361.mesh	361.Mtl	a.Ani						
血侯萧炀	092.mesh	092a.Mtl	092a.Ani		092a	鬼头刀01			
伏梦	432.Mesh	432.Mtl	432.Ani		S_HR	翠烟扇10			
毕堰	173b.mesh	173b.Mtl	173b.Ani		S_HR	173bw			
黑长老萧冉月	131.mesh	131a.Mtl	131a.Ani						
白长老毕天	328.mesh	328.Mtl	328.Ani		S_HR	328w			
通天老祖	429.Mesh	429.Mtl	429.Ani						
万剑兵马俑统领	315.mesh	315.Mtl	315.Ani		S_RH	315w			
机关盘龙柱	182.mesh	182.Mtl	182.Ani						
天剑叶风	141.mesh	141a.Mtl	141a.Ani		S_HR	066剑			
人剑叶梦	076.mesh	076e.Mtl	076c.Ani		S_HR	076_剑			
万剑魔剑奴	070.mesh	070.Mtl	070.Ani		S_HR	064_武器长锤			
阵眼封印	129.mesh	129.Mtl	030.Ani						
黄金宝贝	BX1_M1.Mesh	BX1_M1_1.Mtl	BX1_M1.Ani						
嗜血魔人	068.mesh	068a.Mtl	068a.Ani		S_HR	068w			
巨石火人	052.mesh	052d.Mtl	052c.Ani						
旋转棍人	179.mesh	179a.Mtl	179a.Ani		S_HR	179aw			
千年火麒麟	054.mesh	054a.Mtl	054a.Ani						
大鱼怪	055.mesh	055a.Mtl	055a.Ani		055a	WQ055a			
玉修罗箫奕	464.mesh	464.Mtl	464.Ani		S_HR	颂殇			
修罗碎影	465.mesh	465.Mtl	465.Ani		S_HR	颂殇			
惊雷九龙吞云兽	466.mesh	466.Mtl	466.Ani						
业火九龙吞云兽	467.mesh	467.Mtl	467.Ani						
吞云小兽	468.mesh	468.Mtl	468.Ani						
避雷针	469.mesh	469.Mtl	469.Ani						
太一杨宗保	470.mesh	470.Mtl	470.Ani		S_HR	杨门枪11			
太一穆桂英	471.mesh	471.Mtl	471.Ani		S_HR	杨门枪11			
神兽辟邪	472.mesh	472.Mtl	472.Ani						
黑蘑菇	473.mesh	473.Mtl	473.Ani						
绿蘑菇	474.mesh	474.Mtl	474.Ani						
红蘑菇	475.mesh	475.Mtl	475.Ani						
蓝蘑菇	476.mesh	476.Mtl	476.Ani						
荒火鎏金	477.mesh	477.Mtl	477.Ani						
耶律飞鸿	478.mesh	478.Mtl	478.Ani		S_HR	孤狼			
太一伴随杨宗保	479.mesh	479.Mtl	479.Ani		S_HR	杨门枪11			
太一伴随穆桂英	480.mesh	480.Mtl	480.Ani		S_HR	杨门枪11			
菁菁姑娘	481.mesh	481.Mtl	481.Ani		S_HR	荒火鎏金			
魅魔	090.mesh	090.Mtl	090a.Ani						
荒火鎏金刀	482.mesh	482.Mtl	482.Ani						
隐形的女王	452.mesh	452.Mtl	452.Ani						
木质宝箱	muzhi_box.mesh	muzhi_box.Mtl	baoxiang.Ani						
黑铁宝箱	heitei_box.mesh	heitei_box.Mtl	baoxiang.Ani						
青铜宝箱	qingtong_box.mesh	qingtong_box.Mtl	baoxiang.Ani						
白银宝箱	baiyin_box.mesh	baiyin_box.Mtl	baoxiang.Ani						
黄金宝箱	huangjin_box.mesh	huangjin_box.Mtl	baoxiang.Ani						
钻石宝箱	zuanshi_box.mesh	zuanshi_box.Mtl	baoxiang.Ani						
世界BOSS宝箱	huangjin_box.mesh	huangjin_box.Mtl	baoxiang.Ani						
桃花岛主黄龙	514.mesh	514.mtl	514.ani						
西域苍狼霸王	492.mesh	492.Mtl	492.Ani						
玉山之灵天玖	533.Mesh	533.Mtl	533.Ani						
幽泽之影冥武	491.Mesh	491.Mtl	491.Ani						
完颜希尹	489.mesh	489.Mtl	489.Ani						
吴刚坐骑	148.mesh	148a.Mtl	148a.Ani						
坐骑分身	148.mesh	148a.Mtl	148a.Ani						
小坐骑	148.mesh	148a.Mtl	148a.Ani						
宠物小浣熊	huanxiong.mesh	huanxiong.Mtl	huanxiong.Ani						
宠物霸王鳄	bawange.Mesh	bawange.Mtl	bawange.Ani						
宠物胖傻鸟	shaniao.mesh	shaniao_01.Mtl	shaniao.Ani						
恩怨台战旗	349b.Mesh	349b.Mtl	349.Ani						
五行阵印									
