Tªn giµy	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	Søc phßng ngù (ngo¹i ; néi)	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
Tø T­îng phôc	0	101	1424	50	15000	0	200	12;24					14024	77	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_017a1.spr	\image\item\shoe\fm2_tro_017a0.spr	Trang phôc cña ®Ö tö Vâ §ang khi ®· tinh th«ng ngò hµnh, ®¹t ®Õn c¶nh giíi v« ng·.	½¿Ğ¡Å®ÏÂÉí014	§· khãa		8	2	1	14	0					
Tø T­îng phôc	0	101	14219	50	0	0	200	12;24					914021	70	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man1_tro_017a1.spr	\image\item\shoe\man1_tro_017a0.spr	Trang phôc cña ®Ö tö Vâ §ang khi ®· tinh th«ng ngò hµnh, ®¹t ®Õn c¶nh giíi v« ng·.	±ê×¼ÄĞÏÂÉí018	§· khãa		9	2	1	14	0					
Tø T­îng phôc	0	101	14229	50	0	0	200	12;24					914022	70	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man2_tro_017a1.spr	\image\item\shoe\man2_tro_017a0.spr	Trang phôc cña ®Ö tö Vâ §ang khi ®· tinh th«ng ngò hµnh, ®¹t ®Õn c¶nh giíi v« ng·.	¿ıÎàÄĞÏÂÉí007	§· khãa		9	2	1	14	0					
Tø T­îng phôc	0	101	14239	50	0	0	200	12;24					914023	70	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_017a1.spr	\image\item\shoe\fm1_tro_017a0.spr	Trang phôc cña ®Ö tö Vâ §ang khi ®· tinh th«ng ngò hµnh, ®¹t ®Õn c¶nh giíi v« ng·.	ĞÔ¸ĞÅ®ÏÂÉí036	§· khãa		9	2	1	14	0					
Tø T­îng phôc	0	101	14249	50	0	0	200	12;24					914024	70	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_017a1.spr	\image\item\shoe\fm2_tro_017a0.spr	Trang phôc cña ®Ö tö Vâ §ang khi ®· tinh th«ng ngò hµnh, ®¹t ®Õn c¶nh giíi v« ng·.	½¿Ğ¡Å®ÏÂÉí014	§· khãa		9	2	1	14	0					
Thanh Phong phôc	0	101	1501	30	2	0	120	12;12					15001	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man1_tro_002a1.spr	\image\item\shoe\man1_tro_002a0.spr	Trang phôc cña ®Ö tö cÊp thÊp Vâ §ang tôc gia khi luyÖn Bót  ph¸p.	±ê×¼ÄĞÏÂÉí002	§· khãa		4	2	1	15	0					
Thanh Phong phôc	0	101	1502	30	2	0	120	12;12					15002	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man2_tro_002a1.spr	\image\item\shoe\man2_tro_002a0.spr	Trang phôc cña ®Ö tö cÊp thÊp Vâ §ang tôc gia khi luyÖn Bót  ph¸p.	¿ıÎàÄĞÏÂÉí001	§· khãa		4	2	1	15	0					
Thanh Phong phôc	0	101	1503	30	2	0	120	12;12					15003	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_002a1.spr	\image\item\shoe\fm1_tro_002a0.spr	Trang phôc cña ®Ö tö cÊp thÊp Vâ §ang tôc gia khi luyÖn Bót  ph¸p.	ĞÔ¸ĞÅ®ÏÂÉí019	§· khãa		4	2	1	15	0					
Thanh Phong phôc	0	101	1504	30	2	0	120	12;12					15004	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_002a1.spr	\image\item\shoe\fm2_tro_002a0.spr	Trang phôc cña ®Ö tö cÊp thÊp Vâ §ang tôc gia khi luyÖn Bót  ph¸p.	½¿Ğ¡Å®ÏÂÉí005	§· khãa		4	2	1	15	0					
ThiÓu D­¬ng phôc	0	101	1511	40	4000	0	150	15;15					15011	50	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man1_tro_008a1.spr	\image\item\shoe\man1_tro_008a0.spr	Trang phôc cña ®Ö tö cÊp thÊp Vâ §ang ®¹o gia khi luyÖn Néi c«ng.	±ê×¼ÄĞÏÂÉí010	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	15	0					
ThiÓu D­¬ng phôc	0	101	1512	40	4000	0	150	15;15					15012	50	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man2_tro_008a1.spr	\image\item\shoe\man2_tro_008a0.spr	Trang phôc cña ®Ö tö cÊp thÊp Vâ §ang ®¹o gia khi luyÖn Néi c«ng.	¿ıÎàÄĞÏÂÉí003	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	15	0					
ThiÓu D­¬ng phôc	0	101	1513	40	4000	0	150	15;15					15013	50	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_008a1.spr	\image\item\shoe\fm1_tro_008a0.spr	Trang phôc cña ®Ö tö cÊp thÊp Vâ §ang ®¹o gia khi luyÖn Néi c«ng.	ĞÔ¸ĞÅ®ÏÂÉí020	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	15	0					
ThiÓu D­¬ng phôc	0	101	1514	40	4000	0	150	15;15					15014	50	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_008a1.spr	\image\item\shoe\fm2_tro_008a0.spr	Trang phôc cña ®Ö tö cÊp thÊp Vâ §ang ®¹o gia khi luyÖn Néi c«ng.	½¿Ğ¡Å®ÏÂÉí002	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	15	0					
Linh Phong phôc	0	101	1521	50	15000	0	200	20;20					15021	77	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man1_tro_017a1.spr	\image\item\shoe\man1_tro_017a0.spr	Trang phôc th­êng thÊy cña ®Ö tö Vâ §ang tôc gia khi h¹ s¬n.	±ê×¼ÄĞÏÂÉí018	§· khãa		8	2	1	15	0					
Linh Phong phôc	0	101	1522	50	15000	0	200	20;20					15022	77	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man2_tro_017a1.spr	\image\item\shoe\man2_tro_017a0.spr	Trang phôc th­êng thÊy cña ®Ö tö Vâ §ang tôc gia khi h¹ s¬n.	¿ıÎàÄĞÏÂÉí007	§· khãa		8	2	1	15	0					
Linh Phong phôc	0	101	1523	50	15000	0	200	20;20					15023	77	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_017a1.spr	\image\item\shoe\fm1_tro_017a0.spr	Trang phôc th­êng thÊy cña ®Ö tö Vâ §ang tôc gia khi h¹ s¬n.	ĞÔ¸ĞÅ®ÏÂÉí036	§· khãa		8	2	1	15	0					
Linh Phong phôc	0	101	1524	50	15000	0	200	20;20					15024	77	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_017a1.spr	\image\item\shoe\fm2_tro_017a0.spr	Trang phôc th­êng thÊy cña ®Ö tö Vâ §ang tôc gia khi h¹ s¬n.	½¿Ğ¡Å®ÏÂÉí014	§· khãa		8	2	1	15	0					
Linh Phong phôc	0	101	15219	50	0	0	200	20;20					915021	70	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man1_tro_017a1.spr	\image\item\shoe\man1_tro_017a0.spr	Trang phôc th­êng thÊy cña ®Ö tö Vâ §ang tôc gia khi h¹ s¬n.	±ê×¼ÄĞÏÂÉí018	§· khãa		9	2	1	15	0					
Linh Phong phôc	0	101	15229	50	0	0	200	20;20					915022	70	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man2_tro_017a1.spr	\image\item\shoe\man2_tro_017a0.spr	Trang phôc th­êng thÊy cña ®Ö tö Vâ §ang tôc gia khi h¹ s¬n.	¿ıÎàÄĞÏÂÉí007	§· khãa		9	2	1	15	0					
Linh Phong phôc	0	101	15239	50	0	0	200	20;20					915023	70	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_017a1.spr	\image\item\shoe\fm1_tro_017a0.spr	Trang phôc th­êng thÊy cña ®Ö tö Vâ §ang tôc gia khi h¹ s¬n.	ĞÔ¸ĞÅ®ÏÂÉí036	§· khãa		9	2	1	15	0					
Linh Phong phôc	0	101	15249	50	0	0	200	20;20					915024	70	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_017a1.spr	\image\item\shoe\fm2_tro_017a0.spr	Trang phôc th­êng thÊy cña ®Ö tö Vâ §ang tôc gia khi h¹ s¬n.	½¿Ğ¡Å®ÏÂÉí014	§· khãa		9	2	1	15	0					
Khinh Kş phôc	0	101	1701	30	2	0	120	8;15					17001	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man1_tro_002a1.spr	\image\item\shoe\man1_tro_002a0.spr	Trang phôc cña ®Ö tö cÊp cao Th­¬ng  kş D­¬ng M«n khi tËp luyÖn.	±ê×¼ÄĞÏÂÉí002	§· khãa		4	2	1	17	0					
Khinh Kş phôc	0	101	1702	30	2	0	120	8;15					17002	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man2_tro_002a1.spr	\image\item\shoe\man2_tro_002a0.spr	Trang phôc cña ®Ö tö cÊp cao Th­¬ng  kş D­¬ng M«n khi tËp luyÖn.	¿ıÎàÄĞÏÂÉí001	§· khãa		4	2	1	17	0					
Khinh Kş phôc	0	101	1703	30	2	0	120	8;15					17003	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_002a1.spr	\image\item\shoe\fm1_tro_002a0.spr	Trang phôc cña ®Ö tö cÊp cao Th­¬ng  kş D­¬ng M«n khi tËp luyÖn.	ĞÔ¸ĞÅ®ÏÂÉí019	§· khãa		4	2	1	17	0					
Khinh Kş phôc	0	101	1704	30	2	0	120	8;15					17004	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_002a1.spr	\image\item\shoe\fm2_tro_002a0.spr	Trang phôc cña ®Ö tö cÊp cao Th­¬ng  kş D­¬ng M«n khi tËp luyÖn.	½¿Ğ¡Å®ÏÂÉí005	§· khãa		4	2	1	17	0					
HiÖu óy ThiÕt phôc	0	101	1711	40	4000	0	150	10;18					17011	50	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man1_tro_008a1.spr	\image\item\shoe\man1_tro_008a0.spr	Trang phôc cña ®Ö tö cÊp cao Th­¬ng  kş D­¬ng M«n khi ®­îc th¨ng hiÖu óy.	±ê×¼ÄĞÏÂÉí010	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	17	0					
HiÖu óy ThiÕt phôc	0	101	1712	40	4000	0	150	10;18					17012	50	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man2_tro_008a1.spr	\image\item\shoe\man2_tro_008a0.spr	Trang phôc cña ®Ö tö cÊp cao Th­¬ng  kş D­¬ng M«n khi ®­îc th¨ng hiÖu óy.	¿ıÎàÄĞÏÂÉí003	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	17	0					
HiÖu óy ThiÕt phôc	0	101	1713	40	4000	0	150	10;18					17013	50	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_008a1.spr	\image\item\shoe\fm1_tro_008a0.spr	Trang phôc cña ®Ö tö cÊp cao Th­¬ng  kş D­¬ng M«n khi ®­îc th¨ng hiÖu óy.	ĞÔ¸ĞÅ®ÏÂÉí020	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	17	0					
HiÖu óy ThiÕt phôc	0	101	1714	40	4000	0	150	10;18					17014	50	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_008a1.spr	\image\item\shoe\fm2_tro_008a0.spr	Trang phôc cña ®Ö tö cÊp cao Th­¬ng  kş D­¬ng M«n khi ®­îc th¨ng hiÖu óy.	½¿Ğ¡Å®ÏÂÉí002	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	17	0					
TŞnh Gi¸p phôc	0	101	1721	50	15000	0	200	12;24					17021	77	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man1_tro_017a1.spr	\image\item\shoe\man1_tro_017a0.spr	PhÇn th­ëng cña ®Ö tö Th­¬ng  kş D­¬ng M«n khi ®­îc th¨ng t­íng qu©n.	±ê×¼ÄĞÏÂÉí018	§· khãa		8	2	1	17	0					
TŞnh Gi¸p phôc	0	101	1722	50	15000	0	200	12;24					17022	77	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man2_tro_017a1.spr	\image\item\shoe\man2_tro_017a0.spr	PhÇn th­ëng cña ®Ö tö Th­¬ng  kş D­¬ng M«n khi ®­îc th¨ng t­íng qu©n.	¿ıÎàÄĞÏÂÉí007	§· khãa		8	2	1	17	0					
TŞnh Gi¸p phôc	0	101	1723	50	15000	0	200	12;24					17023	77	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_017a1.spr	\image\item\shoe\fm1_tro_017a0.spr	PhÇn th­ëng cña ®Ö tö Th­¬ng  kş D­¬ng M«n khi ®­îc th¨ng t­íng qu©n.	ĞÔ¸ĞÅ®ÏÂÉí036	§· khãa		8	2	1	17	0					
TŞnh Gi¸p phôc	0	101	1724	50	15000	0	200	12;24					17024	77	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_017a1.spr	\image\item\shoe\fm2_tro_017a0.spr	PhÇn th­ëng cña ®Ö tö Th­¬ng  kş D­¬ng M«n khi ®­îc th¨ng t­íng qu©n.	½¿Ğ¡Å®ÏÂÉí014	§· khãa		8	2	1	17	0					
TŞnh Gi¸p phôc	0	101	17219	50	0	0	200	12;24					917021	70	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man1_tro_017a1.spr	\image\item\shoe\man1_tro_017a0.spr	PhÇn th­ëng cña ®Ö tö Th­¬ng  kş D­¬ng M«n khi ®­îc th¨ng t­íng qu©n.	±ê×¼ÄĞÏÂÉí018	§· khãa		9	2	1	17	0					
TŞnh Gi¸p phôc	0	101	17229	50	0	0	200	12;24					917022	70	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man2_tro_017a1.spr	\image\item\shoe\man2_tro_017a0.spr	PhÇn th­ëng cña ®Ö tö Th­¬ng  kş D­¬ng M«n khi ®­îc th¨ng t­íng qu©n.	¿ıÎàÄĞÏÂÉí007	§· khãa		9	2	1	17	0					
TŞnh Gi¸p phôc	0	101	17239	50	0	0	200	12;24					917023	70	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_017a1.spr	\image\item\shoe\fm1_tro_017a0.spr	PhÇn th­ëng cña ®Ö tö Th­¬ng  kş D­¬ng M«n khi ®­îc th¨ng t­íng qu©n.	ĞÔ¸ĞÅ®ÏÂÉí036	§· khãa		9	2	1	17	0					
TŞnh Gi¸p phôc	0	101	17249	50	0	0	200	12;24					917024	70	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_017a1.spr	\image\item\shoe\fm2_tro_017a0.spr	PhÇn th­ëng cña ®Ö tö Th­¬ng  kş D­¬ng M«n khi ®­îc th¨ng t­íng qu©n.	½¿Ğ¡Å®ÏÂÉí014	§· khãa		9	2	1	17	0					
Nâ Thñ phôc	0	101	1801	30	2	0	120	8;15					18001	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man1_tro_002a1.spr	\image\item\shoe\man1_tro_002a0.spr	Trang phôc cña ®Ö tö D­¬ng M«n khi luyÖn Cung	±ê×¼ÄĞÏÂÉí002	§· khãa		4	2	1	18	0					
Nâ Thñ phôc	0	101	1802	30	2	0	120	8;15					18002	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man2_tro_002a1.spr	\image\item\shoe\man2_tro_002a0.spr	Trang phôc cña ®Ö tö D­¬ng M«n khi luyÖn Cung	¿ıÎàÄĞÏÂÉí001	§· khãa		4	2	1	18	0					
Nâ Thñ phôc	0	101	1803	30	2	0	120	8;15					18003	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_002a1.spr	\image\item\shoe\fm1_tro_002a0.spr	Trang phôc cña ®Ö tö D­¬ng M«n khi luyÖn Cung	ĞÔ¸ĞÅ®ÏÂÉí019	§· khãa		4	2	1	18	0					
Nâ Thñ phôc	0	101	1804	30	2	0	120	8;15					18004	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_002a1.spr	\image\item\shoe\fm2_tro_002a0.spr	Trang phôc cña ®Ö tö D­¬ng M«n khi luyÖn Cung	½¿Ğ¡Å®ÏÂÉí005	§· khãa		4	2	1	18	0					
§« óy ThiÕt phôc	0	101	1811	40	4000	0	150	10;18					18011	50	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man1_tro_008a1.spr	\image\item\shoe\man1_tro_008a0.spr	PhÇn th­ëng cña ®Ö tö cÊp cao D­¬ng M«n khi ®­îc th¨ng §« óy	±ê×¼ÄĞÏÂÉí010	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	18	0					
§« óy ThiÕt phôc	0	101	1812	40	4000	0	150	10;18					18012	50	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man2_tro_008a1.spr	\image\item\shoe\man2_tro_008a0.spr	PhÇn th­ëng cña ®Ö tö cÊp cao D­¬ng M«n khi ®­îc th¨ng §« óy	¿ıÎàÄĞÏÂÉí003	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	18	0					
§« óy ThiÕt phôc	0	101	1813	40	4000	0	150	10;18					18013	50	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_008a1.spr	\image\item\shoe\fm1_tro_008a0.spr	PhÇn th­ëng cña ®Ö tö cÊp cao D­¬ng M«n khi ®­îc th¨ng §« óy	ĞÔ¸ĞÅ®ÏÂÉí020	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	18	0					
§« óy ThiÕt phôc	0	101	1814	40	4000	0	150	10;18					18014	50	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_008a1.spr	\image\item\shoe\fm2_tro_008a0.spr	PhÇn th­ëng cña ®Ö tö cÊp cao D­¬ng M«n khi ®­îc th¨ng §« óy	½¿Ğ¡Å®ÏÂÉí002	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	18	0					
Tinh Gi¸p phôc	0	101	1821	50	15000	0	200	12;24					18021	77	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man1_tro_017a1.spr	\image\item\shoe\man1_tro_017a0.spr	PhÇn th­ëng cña ®Ö tö D­¬ng M«n khi ®­îc th¨ng T­íng Qu©n	±ê×¼ÄĞÏÂÉí018	§· khãa		8	2	1	18	0					
Tinh Gi¸p phôc	0	101	1822	50	15000	0	200	12;24					18022	77	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man2_tro_017a1.spr	\image\item\shoe\man2_tro_017a0.spr	PhÇn th­ëng cña ®Ö tö D­¬ng M«n khi ®­îc th¨ng T­íng Qu©n	¿ıÎàÄĞÏÂÉí007	§· khãa		8	2	1	18	0					
Tinh Gi¸p phôc	0	101	1823	50	15000	0	200	12;24					18023	77	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_017a1.spr	\image\item\shoe\fm1_tro_017a0.spr	PhÇn th­ëng cña ®Ö tö D­¬ng M«n khi ®­îc th¨ng T­íng Qu©n	ĞÔ¸ĞÅ®ÏÂÉí036	§· khãa		8	2	1	18	0					
Tinh Gi¸p phôc	0	101	1824	50	15000	0	200	12;24					18024	77	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_017a1.spr	\image\item\shoe\fm2_tro_017a0.spr	PhÇn th­ëng cña ®Ö tö D­¬ng M«n khi ®­îc th¨ng T­íng Qu©n	½¿Ğ¡Å®ÏÂÉí014	§· khãa		8	2	1	18	0					
Tinh Gi¸p phôc	0	101	18219	50	0	0	200	12;24					918021	70	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man1_tro_017a1.spr	\image\item\shoe\man1_tro_017a0.spr	PhÇn th­ëng cña ®Ö tö D­¬ng M«n khi ®­îc th¨ng T­íng Qu©n	±ê×¼ÄĞÏÂÉí018	§· khãa		9	2	1	18	0					
Tinh Gi¸p phôc	0	101	18229	50	0	0	200	12;24					918022	70	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man2_tro_017a1.spr	\image\item\shoe\man2_tro_017a0.spr	PhÇn th­ëng cña ®Ö tö D­¬ng M«n khi ®­îc th¨ng T­íng Qu©n	¿ıÎàÄĞÏÂÉí007	§· khãa		9	2	1	18	0					
Tinh Gi¸p phôc	0	101	18239	50	0	0	200	12;24					918023	70	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_017a1.spr	\image\item\shoe\fm1_tro_017a0.spr	PhÇn th­ëng cña ®Ö tö D­¬ng M«n khi ®­îc th¨ng T­íng Qu©n	ĞÔ¸ĞÅ®ÏÂÉí036	§· khãa		9	2	1	18	0					
Tinh Gi¸p phôc	0	101	18249	50	0	0	200	12;24					918024	70	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_017a1.spr	\image\item\shoe\fm2_tro_017a0.spr	PhÇn th­ëng cña ®Ö tö D­¬ng M«n khi ®­îc th¨ng T­íng Qu©n	½¿Ğ¡Å®ÏÂÉí014	§· khãa		9	2	1	18	0					
§o¹t Ph¸ch phôc	0	101	2001	30	2	0	120	12;12					20001	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man1_tro_002a1.spr	\image\item\shoe\man1_tro_002a0.spr	§Ö tö Ngò §éc Tµ HiÖp cÊp thÊp mÆc khi tu luyÖn ®éc thuËt.	±ê×¼ÄĞÏÂÉí002	§· khãa		4	2	1	20	0					
§o¹t Ph¸ch phôc	0	101	2002	30	2	0	120	12;12					20002	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man2_tro_002a1.spr	\image\item\shoe\man2_tro_002a0.spr	§Ö tö Ngò §éc Tµ HiÖp cÊp thÊp mÆc khi tu luyÖn ®éc thuËt.	¿ıÎàÄĞÏÂÉí001	§· khãa		4	2	1	20	0					
§o¹t Ph¸ch phôc	0	101	2003	30	2	0	120	12;12					20003	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_002a1.spr	\image\item\shoe\fm1_tro_002a0.spr	§Ö tö Ngò §éc Tµ HiÖp cÊp thÊp mÆc khi tu luyÖn ®éc thuËt.	ĞÔ¸ĞÅ®ÏÂÉí019	§· khãa		4	2	1	20	0					
§o¹t Ph¸ch phôc	0	101	2004	30	2	0	120	12;12					20004	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_002a1.spr	\image\item\shoe\fm2_tro_002a0.spr	§Ö tö Ngò §éc Tµ HiÖp cÊp thÊp mÆc khi tu luyÖn ®éc thuËt.	½¿Ğ¡Å®ÏÂÉí005	§· khãa		4	2	1	20	0					
Th«i MÖnh phôc	0	101	2011	40	4000	0	150	15;15					20011	50	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man1_tro_008a1.spr	\image\item\shoe\man1_tro_008a0.spr	§Ö tö Ngò §éc Tµ HiÖp cÊp cao mÆc khi tu luyÖn ®éc thuËt, cã chøa kŞch ®éc.	±ê×¼ÄĞÏÂÉí010	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	20	0					
Th«i MÖnh phôc	0	101	2012	40	4000	0	150	15;15					20012	50	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man2_tro_008a1.spr	\image\item\shoe\man2_tro_008a0.spr	§Ö tö Ngò §éc Tµ HiÖp cÊp cao mÆc khi tu luyÖn ®éc thuËt, cã chøa kŞch ®éc.	¿ıÎàÄĞÏÂÉí003	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	20	0					
Th«i MÖnh phôc	0	101	2013	40	4000	0	150	15;15					20013	50	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_008a1.spr	\image\item\shoe\fm1_tro_008a0.spr	§Ö tö Ngò §éc Tµ HiÖp cÊp cao mÆc khi tu luyÖn ®éc thuËt, cã chøa kŞch ®éc.	ĞÔ¸ĞÅ®ÏÂÉí020	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	20	0					
Th«i MÖnh phôc	0	101	2014	40	4000	0	150	15;15					20014	50	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm2_tro_008a1.spr	\image\item\shoe\fm2_tro_008a0.spr	§Ö tö Ngò §éc Tµ HiÖp cÊp cao mÆc khi tu luyÖn ®éc thuËt, cã chøa kŞch ®éc.	½¿Ğ¡Å®ÏÂÉí002	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi2.lua	6	0	1	20	0					
H¾c V« Th­êng M·nh §éc	0	101	2021	50	15000	0	200	20;20					20021	77	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man1_tro_017a1.spr	\image\item\shoe\man1_tro_017a0.spr	§Ö tö Ngò §éc tµ hiÖp mÆc khi tu luyÖn B¸ch §éc thuËt, ®éc tİnh cùc m¹nh.	±ê×¼ÄĞÏÂÉí018	§· khãa		8	2	1	20	0					
H¾c V« Th­êng M·nh §éc	0	101	2022	50	15000	0	200	20;20					20022	77	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\man2_tro_017a1.spr	\image\item\shoe\man2_tro_017a0.spr	§Ö tö Ngò §éc tµ hiÖp mÆc khi tu luyÖn B¸ch §éc thuËt, ®éc tİnh cùc m¹nh.	¿ıÎàÄĞÏÂÉí007	§· khãa		8	2	1	20	0					
H¾c V« Th­êng M·nh §éc	0	101	2023	50	15000	0	200	20;20					20023	77	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\fm1_tro_017a1.spr	\image\item\shoe\fm1_tro_017a0.spr	§Ö tö Ngò §éc tµ hiÖp mÆc khi tu luyÖn B¸ch §éc thuËt, ®éc tİnh cùc m¹nh.	ĞÔ¸ĞÅ®ÏÂÉí036	§· khãa		8	2	1	20	0					
