Tªn M·o	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	(Ngo¹i, néi) phßng	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch(0 ®­îc,1 kh«ng ®­îc,2 chØ cã thÓ b¸n ë tiÖm,3 chØ cã thÓ b¸n)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
Linh Lung ®Çu qu¸n (®á)	0	108	213	10	0	0	100							1	2	4		\image\item\cap\ÁáççÍ·¹Ú½¿Ğ¡a1.spr	\image\item\cap\ÁáççÍ·¹Ú½¿Ğ¡a0.spr	Linh Lung ®Çu qu¸n, mµu ®á biÓu t­îng cho ng­êi th«ng minh.	½¿Ğ¡Å®Í·Ááççºì	§· khãa		1	2	1		0					
Linh Lung ®Çu qu¸n (vµng)	0	108	214	10	0	0	100							1	2	4		\image\item\cap\ÁáççÍ·¹Ú½¿Ğ¡a1.spr	\image\item\cap\ÁáççÍ·¹Ú½¿Ğ¡a0.spr	Linh Lung ®Çu qu¸n, mµu vµng biÓu t­îng cho ng­êi th«ng minh.	½¿Ğ¡Å®Í·Ááçç»Æ	§· khãa		1	2	1		0					
Linh Lung ®Çu qu¸n (hång)	0	108	215	10	0	0	100							1	2	4		\image\item\cap\ÁáççÍ·¹Ú½¿Ğ¡a1.spr	\image\item\cap\ÁáççÍ·¹Ú½¿Ğ¡a0.spr	Linh Lung ®Çu qu¸n, mµu hång biÓu t­îng cho ng­êi th«ng minh.	½¿Ğ¡Å®Í·Ááçç×Ï	§· khãa		1	2	1		0					
Linh Lung ®Çu qu¸n (tİm)	0	108	216	10	0	0	100							1	2	4		\image\item\cap\ÁáççÍ·¹Ú½¿Ğ¡a1.spr	\image\item\cap\ÁáççÍ·¹Ú½¿Ğ¡a0.spr	Linh Lung ®Çu qu¸n, mµu tİm biÓu t­îng cho ng­êi th«ng minh.	½¿Ğ¡Å®Í·Ááçç·Û	§· khãa		1	2	1		0					
Linh Lung ®Çu qu¸n (lam)	0	108	217	10	0	0	100							1	2	4		\image\item\cap\ÁáççÍ·¹Ú½¿Ğ¡a1.spr	\image\item\cap\ÁáççÍ·¹Ú½¿Ğ¡a0.spr	Linh Lung ®Çu qu¸n, mµu lam biÓu t­îng cho ng­êi th«ng minh.	½¿Ğ¡Å®Í·ÁáççÀ¶	§· khãa		1	2	1		0					
Linh Lung ®Çu qu¸n (lôc)	0	108	218	10	0	0	100							1	2	4		\image\item\cap\ÁáççÍ·¹Ú½¿Ğ¡a1.spr	\image\item\cap\ÁáççÍ·¹Ú½¿Ğ¡a0.spr	Linh Lung ®Çu qu¸n, mµu lôc biÓu t­îng cho ng­êi th«ng minh.	½¿Ğ¡Å®Í·ÁáççÂÌ	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n (sen lôc)	0	108	398	10	0	0	100							1	2	4		\image\item\cap\åĞÒ£¹Ú½¿Ğ¡a1.spr	\image\item\cap\åĞÒ£¹Ú½¿Ğ¡a0.spr	Tiªu Dao Qu¸n, trang phôc n÷ mµu sen lôc.	½¿Ğ¡Å®åĞÒ£Í·ºÚ	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n (tİm than)	0	108	399	10	0	0	100							1	2	4		\image\item\cap\åĞÒ£¹Ú½¿Ğ¡a1.spr	\image\item\cap\åĞÒ£¹Ú½¿Ğ¡a0.spr	Tiªu Dao Qu¸n, trang phôc n÷ mµu tİm than.	½¿Ğ¡Å®åĞÒ£Í·×Ï	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n (xanh biÓn)	0	108	400	10	0	0	100							1	2	4		\image\item\cap\åĞÒ£¹Ú½¿Ğ¡a1.spr	\image\item\cap\åĞÒ£¹Ú½¿Ğ¡a0.spr	Tiªu Dao Qu¸n, trang phôc n÷ mµu xanh biÓn.	½¿Ğ¡Å®åĞÒ£Í·À¶	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n (hång m¬ méng)	0	108	401	10	0	0	100							1	2	4		\image\item\cap\åĞÒ£¹Ú½¿Ğ¡a1.spr	\image\item\cap\åĞÒ£¹Ú½¿Ğ¡a0.spr	Tiªu Dao Qu¸n, trang phôc n÷ mµu hång m¬ méng.	½¿Ğ¡Å®åĞÒ£Í·ÂÌ	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n (®á hoa hång)	0	108	402	10	0	0	100							1	2	4		\image\item\cap\åĞÒ£¹Ú½¿Ğ¡a1.spr	\image\item\cap\åĞÒ£¹Ú½¿Ğ¡a0.spr	Tiªu Dao Qu¸n, trang phôc n÷ mµu ®á hoa hång.	½¿Ğ¡Å®åĞÒ£Í·×Ø	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n (sen lôc)	0	108	408	10	0	0	100							1	2	3		\image\item\cap\åĞÒ£¹ÚĞÔ¸Ğa1.spr	\image\item\cap\åĞÒ£¹ÚĞÔ¸Ğa0.spr	Tiªu Dao Qu¸n, trang phôc n÷ mµu sen lôc.	ĞÔ¸ĞÅ®åĞÒ£Í·ºÚ	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n (tİm than)	0	108	409	10	0	0	100							1	2	3		\image\item\cap\åĞÒ£¹ÚĞÔ¸Ğa1.spr	\image\item\cap\åĞÒ£¹ÚĞÔ¸Ğa0.spr	Tiªu Dao Qu¸n, trang phôc n÷ mµu tİm than.	ĞÔ¸ĞÅ®åĞÒ£Í·×Ï	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n (xanh biÓn)	0	108	410	10	0	0	100							1	2	3		\image\item\cap\åĞÒ£¹ÚĞÔ¸Ğa1.spr	\image\item\cap\åĞÒ£¹ÚĞÔ¸Ğa0.spr	Tiªu Dao Qu¸n, trang phôc n÷ mµu xanh biÓn.	ĞÔ¸ĞÅ®åĞÒ£Í·À¶	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n (hång m¬ méng)	0	108	411	10	0	0	100							1	2	3		\image\item\cap\åĞÒ£¹ÚĞÔ¸Ğa1.spr	\image\item\cap\åĞÒ£¹ÚĞÔ¸Ğa0.spr	Tiªu Dao Qu¸n, trang phôc n÷ mµu hång m¬ méng.	ĞÔ¸ĞÅ®åĞÒ£Í·ÂÌ	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n (®á hoa hång)	0	108	412	10	0	0	100							1	2	3		\image\item\cap\åĞÒ£¹ÚĞÔ¸Ğa1.spr	\image\item\cap\åĞÒ£¹ÚĞÔ¸Ğa0.spr	Tiªu Dao Qu¸n, trang phôc n÷ mµu ®á hoa hång.	ĞÔ¸ĞÅ®åĞÒ£Í·×Ø	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n (®en huyÒn bİ)	0	108	413	10	0	0	100						1	1	1	1		\image\item\cap\åĞÒ£¹Ú±ê×¼a1.spr	\image\item\cap\åĞÒ£¹Ú±ê×¼a0.spr	Tiªu Dao Qu¸n, trang phôc nam mµu ®en huyÒn bİ.	±ê×¼ÄĞåĞÒ£Í·ºÚ	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n (®en huyÒn bİ)	0	108	414	10	0	0	100						2	1	1	1		\image\item\cap\åĞÒ£¹Ú±ê×¼a1.spr	\image\item\cap\åĞÒ£¹Ú±ê×¼a0.spr	Tiªu Dao Qu¸n, trang phôc nam mµu ®en huyÒn bİ.	±ê×¼ÄĞåĞÒ£Í·ºÚ	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n (®en huyÒn bİ)	0	108	415	10	0	0	100						4	1	1	1		\image\item\cap\åĞÒ£¹Ú±ê×¼a1.spr	\image\item\cap\åĞÒ£¹Ú±ê×¼a0.spr	Tiªu Dao Qu¸n, trang phôc nam mµu ®en huyÒn bİ.	±ê×¼ÄĞåĞÒ£Í·ºÚ	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n (®en huyÒn bİ)	0	108	416	10	0	0	100						5	1	1	1		\image\item\cap\åĞÒ£¹Ú±ê×¼a1.spr	\image\item\cap\åĞÒ£¹Ú±ê×¼a0.spr	Tiªu Dao Qu¸n, trang phôc nam mµu ®en huyÒn bİ.	±ê×¼ÄĞåĞÒ£Í·ºÚ	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n (®en huyÒn bİ)	0	108	417	10	0	0	100						6	1	1	1		\image\item\cap\åĞÒ£¹Ú±ê×¼a1.spr	\image\item\cap\åĞÒ£¹Ú±ê×¼a0.spr	Tiªu Dao Qu¸n, trang phôc nam mµu ®en huyÒn bİ.	±ê×¼ÄĞåĞÒ£Í·ºÚ	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n (®en huyÒn bİ)	0	108	418	10	0	0	100						7	1	1	1		\image\item\cap\åĞÒ£¹Ú±ê×¼a1.spr	\image\item\cap\åĞÒ£¹Ú±ê×¼a0.spr	Tiªu Dao Qu¸n, trang phôc nam mµu ®en huyÒn bİ.	±ê×¼ÄĞåĞÒ£Í·ºÚ	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n (tİm sang träng)	0	108	419	10	0	0	100						1	1	1	1		\image\item\cap\åĞÒ£¹Ú±ê×¼a1.spr	\image\item\cap\åĞÒ£¹Ú±ê×¼a0.spr	Tiªu Dao Qu¸n, trang phôc nam mµu tİm sang träng.	±ê×¼ÄĞåĞÒ£Í·×Ï	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n (tİm sang träng)	0	108	420	10	0	0	100						2	1	1	1		\image\item\cap\åĞÒ£¹Ú±ê×¼a1.spr	\image\item\cap\åĞÒ£¹Ú±ê×¼a0.spr	Tiªu Dao Qu¸n, trang phôc nam mµu tİm sang träng.	±ê×¼ÄĞåĞÒ£Í·×Ï	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n (tİm sang träng)	0	108	421	10	0	0	100						4	1	1	1		\image\item\cap\åĞÒ£¹Ú±ê×¼a1.spr	\image\item\cap\åĞÒ£¹Ú±ê×¼a0.spr	Tiªu Dao Qu¸n, trang phôc nam mµu tİm sang träng.	±ê×¼ÄĞåĞÒ£Í·×Ï	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n (tİm sang träng)	0	108	422	10	0	0	100						5	1	1	1		\image\item\cap\åĞÒ£¹Ú±ê×¼a1.spr	\image\item\cap\åĞÒ£¹Ú±ê×¼a0.spr	Tiªu Dao Qu¸n, trang phôc nam mµu tİm sang träng.	±ê×¼ÄĞåĞÒ£Í·×Ï	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n (tİm sang träng)	0	108	423	10	0	0	100						6	1	1	1		\image\item\cap\åĞÒ£¹Ú±ê×¼a1.spr	\image\item\cap\åĞÒ£¹Ú±ê×¼a0.spr	Tiªu Dao Qu¸n, trang phôc nam mµu tİm sang träng.	±ê×¼ÄĞåĞÒ£Í·×Ï	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n (tİm sang träng)	0	108	424	10	0	0	100						7	1	1	1		\image\item\cap\åĞÒ£¹Ú±ê×¼a1.spr	\image\item\cap\åĞÒ£¹Ú±ê×¼a0.spr	Tiªu Dao Qu¸n, trang phôc nam mµu tİm sang träng.	±ê×¼ÄĞåĞÒ£Í·×Ï	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n (lam phiªu dËt)	0	108	425	10	0	0	100						1	1	1	1		\image\item\cap\åĞÒ£¹Ú±ê×¼a1.spr	\image\item\cap\åĞÒ£¹Ú±ê×¼a0.spr	Tiªu Dao Qu¸n, trang phôc nam mµu lam phiªu dËt.	±ê×¼ÄĞåĞÒ£Í·À¶	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n (lam phiªu dËt)	0	108	426	10	0	0	100						2	1	1	1		\image\item\cap\åĞÒ£¹Ú±ê×¼a1.spr	\image\item\cap\åĞÒ£¹Ú±ê×¼a0.spr	Tiªu Dao Qu¸n, trang phôc nam mµu lam phiªu dËt.	±ê×¼ÄĞåĞÒ£Í·À¶	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n (lam phiªu dËt)	0	108	427	10	0	0	100						4	1	1	1		\image\item\cap\åĞÒ£¹Ú±ê×¼a1.spr	\image\item\cap\åĞÒ£¹Ú±ê×¼a0.spr	Tiªu Dao Qu¸n, trang phôc nam mµu lam phiªu dËt.	±ê×¼ÄĞåĞÒ£Í·À¶	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n (lam phiªu dËt)	0	108	428	10	0	0	100						5	1	1	1		\image\item\cap\åĞÒ£¹Ú±ê×¼a1.spr	\image\item\cap\åĞÒ£¹Ú±ê×¼a0.spr	Tiªu Dao Qu¸n, trang phôc nam mµu lam phiªu dËt.	±ê×¼ÄĞåĞÒ£Í·À¶	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n (lam phiªu dËt)	0	108	429	10	0	0	100						6	1	1	1		\image\item\cap\åĞÒ£¹Ú±ê×¼a1.spr	\image\item\cap\åĞÒ£¹Ú±ê×¼a0.spr	Tiªu Dao Qu¸n, trang phôc nam mµu lam phiªu dËt.	±ê×¼ÄĞåĞÒ£Í·À¶	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n (lam phiªu dËt)	0	108	430	10	0	0	100						7	1	1	1		\image\item\cap\åĞÒ£¹Ú±ê×¼a1.spr	\image\item\cap\åĞÒ£¹Ú±ê×¼a0.spr	Tiªu Dao Qu¸n, trang phôc nam mµu lam phiªu dËt.	±ê×¼ÄĞåĞÒ£Í·À¶	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n(lôc phãng kho¸ng)	0	108	431	10	0	0	100						1	1	1	1		\image\item\cap\åĞÒ£¹Ú±ê×¼a1.spr	\image\item\cap\åĞÒ£¹Ú±ê×¼a0.spr	Tiªu Dao Qu¸n, trang phôc nam mµu lôc phãng kho¸ng.	±ê×¼ÄĞåĞÒ£Í·ÂÌ	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n(lôc phãng kho¸ng)	0	108	432	10	0	0	100						2	1	1	1		\image\item\cap\åĞÒ£¹Ú±ê×¼a1.spr	\image\item\cap\åĞÒ£¹Ú±ê×¼a0.spr	Tiªu Dao Qu¸n, trang phôc nam mµu lôc phãng kho¸ng.	±ê×¼ÄĞåĞÒ£Í·ÂÌ	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n(lôc phãng kho¸ng)	0	108	433	10	0	0	100						4	1	1	1		\image\item\cap\åĞÒ£¹Ú±ê×¼a1.spr	\image\item\cap\åĞÒ£¹Ú±ê×¼a0.spr	Tiªu Dao Qu¸n, trang phôc nam mµu lôc phãng kho¸ng.	±ê×¼ÄĞåĞÒ£Í·ÂÌ	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n(lôc phãng kho¸ng)	0	108	434	10	0	0	100						5	1	1	1		\image\item\cap\åĞÒ£¹Ú±ê×¼a1.spr	\image\item\cap\åĞÒ£¹Ú±ê×¼a0.spr	Tiªu Dao Qu¸n, trang phôc nam mµu lôc phãng kho¸ng.	±ê×¼ÄĞåĞÒ£Í·ÂÌ	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n(lôc phãng kho¸ng)	0	108	435	10	0	0	100						6	1	1	1		\image\item\cap\åĞÒ£¹Ú±ê×¼a1.spr	\image\item\cap\åĞÒ£¹Ú±ê×¼a0.spr	Tiªu Dao Qu¸n, trang phôc nam mµu lôc phãng kho¸ng.	±ê×¼ÄĞåĞÒ£Í·ÂÌ	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n(lôc phãng kho¸ng)	0	108	436	10	0	0	100						7	1	1	1		\image\item\cap\åĞÒ£¹Ú±ê×¼a1.spr	\image\item\cap\åĞÒ£¹Ú±ê×¼a0.spr	Tiªu Dao Qu¸n, trang phôc nam mµu lôc phãng kho¸ng.	±ê×¼ÄĞåĞÒ£Í·ÂÌ	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n (n©u)	0	108	437	10	0	0	100						1	1	1	1		\image\item\cap\åĞÒ£¹Ú±ê×¼a1.spr	\image\item\cap\åĞÒ£¹Ú±ê×¼a0.spr	Tiªu Dao Qu¸n, trang phôc nam mµu n©u b×nh th­êng.	±ê×¼ÄĞåĞÒ£Í·×Ø	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n (n©u)	0	108	438	10	0	0	100						2	1	1	1		\image\item\cap\åĞÒ£¹Ú±ê×¼a1.spr	\image\item\cap\åĞÒ£¹Ú±ê×¼a0.spr	Tiªu Dao Qu¸n, trang phôc nam mµu n©u b×nh th­êng.	±ê×¼ÄĞåĞÒ£Í·×Ø	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n (n©u)	0	108	439	10	0	0	100						4	1	1	1		\image\item\cap\åĞÒ£¹Ú±ê×¼a1.spr	\image\item\cap\åĞÒ£¹Ú±ê×¼a0.spr	Tiªu Dao Qu¸n, trang phôc nam mµu n©u b×nh th­êng.	±ê×¼ÄĞåĞÒ£Í·×Ø	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n (n©u)	0	108	440	10	0	0	100						5	1	1	1		\image\item\cap\åĞÒ£¹Ú±ê×¼a1.spr	\image\item\cap\åĞÒ£¹Ú±ê×¼a0.spr	Tiªu Dao Qu¸n, trang phôc nam mµu n©u b×nh th­êng.	±ê×¼ÄĞåĞÒ£Í·×Ø	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n (n©u)	0	108	441	10	0	0	100						6	1	1	1		\image\item\cap\åĞÒ£¹Ú±ê×¼a1.spr	\image\item\cap\åĞÒ£¹Ú±ê×¼a0.spr	Tiªu Dao Qu¸n, trang phôc nam mµu n©u b×nh th­êng.	±ê×¼ÄĞåĞÒ£Í·×Ø	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n (n©u)	0	108	442	10	0	0	100						7	1	1	1		\image\item\cap\åĞÒ£¹Ú±ê×¼a1.spr	\image\item\cap\åĞÒ£¹Ú±ê×¼a0.spr	Tiªu Dao Qu¸n, trang phôc nam mµu n©u b×nh th­êng.	±ê×¼ÄĞåĞÒ£Í·×Ø	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n (®en huyÒn bİ)	0	108	443	10	0	0	100						1	1	1	2		\image\item\cap\åĞÒ£¹Ú¿ıÎàa1.spr	\image\item\cap\åĞÒ£¹Ú¿ıÎàa0.spr	Tiªu Dao Qu¸n, trang phôc nam mµu ®en huyÒn bİ.	¿ıÎàÄĞåĞÒ£Í·ºÚ	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n (®en huyÒn bİ)	0	108	444	10	0	0	100						2	1	1	2		\image\item\cap\åĞÒ£¹Ú¿ıÎàa1.spr	\image\item\cap\åĞÒ£¹Ú¿ıÎàa0.spr	Tiªu Dao Qu¸n, trang phôc nam mµu ®en huyÒn bİ.	¿ıÎàÄĞåĞÒ£Í·ºÚ	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n (®en huyÒn bİ)	0	108	445	10	0	0	100						4	1	1	2		\image\item\cap\åĞÒ£¹Ú¿ıÎàa1.spr	\image\item\cap\åĞÒ£¹Ú¿ıÎàa0.spr	Tiªu Dao Qu¸n, trang phôc nam mµu ®en huyÒn bİ.	¿ıÎàÄĞåĞÒ£Í·ºÚ	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n (®en huyÒn bİ)	0	108	446	10	0	0	100						5	1	1	2		\image\item\cap\åĞÒ£¹Ú¿ıÎàa1.spr	\image\item\cap\åĞÒ£¹Ú¿ıÎàa0.spr	Tiªu Dao Qu¸n, trang phôc nam mµu ®en huyÒn bİ.	¿ıÎàÄĞåĞÒ£Í·ºÚ	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n (®en huyÒn bİ)	0	108	447	10	0	0	100						6	1	1	2		\image\item\cap\åĞÒ£¹Ú¿ıÎàa1.spr	\image\item\cap\åĞÒ£¹Ú¿ıÎàa0.spr	Tiªu Dao Qu¸n, trang phôc nam mµu ®en huyÒn bİ.	¿ıÎàÄĞåĞÒ£Í·ºÚ	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n (®en huyÒn bİ)	0	108	448	10	0	0	100						7	1	1	2		\image\item\cap\åĞÒ£¹Ú¿ıÎàa1.spr	\image\item\cap\åĞÒ£¹Ú¿ıÎàa0.spr	Tiªu Dao Qu¸n, trang phôc nam mµu ®en huyÒn bİ.	¿ıÎàÄĞåĞÒ£Í·ºÚ	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n (tİm sang träng)	0	108	449	10	0	0	100						1	1	1	2		\image\item\cap\åĞÒ£¹Ú¿ıÎàa1.spr	\image\item\cap\åĞÒ£¹Ú¿ıÎàa0.spr	Tiªu Dao Qu¸n, trang phôc nam mµu tİm sang träng.	¿ıÎàÄĞåĞÒ£Í·×Ï	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n (tİm sang träng)	0	108	450	10	0	0	100						2	1	1	2		\image\item\cap\åĞÒ£¹Ú¿ıÎàa1.spr	\image\item\cap\åĞÒ£¹Ú¿ıÎàa0.spr	Tiªu Dao Qu¸n, trang phôc nam mµu tİm sang träng.	¿ıÎàÄĞåĞÒ£Í·×Ï	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n (tİm sang träng)	0	108	451	10	0	0	100						4	1	1	2		\image\item\cap\åĞÒ£¹Ú¿ıÎàa1.spr	\image\item\cap\åĞÒ£¹Ú¿ıÎàa0.spr	Tiªu Dao Qu¸n, trang phôc nam mµu tİm sang träng.	¿ıÎàÄĞåĞÒ£Í·×Ï	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n (tİm sang träng)	0	108	452	10	0	0	100						5	1	1	2		\image\item\cap\åĞÒ£¹Ú¿ıÎàa1.spr	\image\item\cap\åĞÒ£¹Ú¿ıÎàa0.spr	Tiªu Dao Qu¸n, trang phôc nam mµu tİm sang träng.	¿ıÎàÄĞåĞÒ£Í·×Ï	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n (tİm sang träng)	0	108	453	10	0	0	100						6	1	1	2		\image\item\cap\åĞÒ£¹Ú¿ıÎàa1.spr	\image\item\cap\åĞÒ£¹Ú¿ıÎàa0.spr	Tiªu Dao Qu¸n, trang phôc nam mµu tİm sang träng.	¿ıÎàÄĞåĞÒ£Í·×Ï	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n (tİm sang träng)	0	108	454	10	0	0	100						7	1	1	2		\image\item\cap\åĞÒ£¹Ú¿ıÎàa1.spr	\image\item\cap\åĞÒ£¹Ú¿ıÎàa0.spr	Tiªu Dao Qu¸n, trang phôc nam mµu tİm sang träng.	¿ıÎàÄĞåĞÒ£Í·×Ï	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n (lam phiªu dËt)	0	108	455	10	0	0	100						1	1	1	2		\image\item\cap\åĞÒ£¹Ú¿ıÎàa1.spr	\image\item\cap\åĞÒ£¹Ú¿ıÎàa0.spr	Tiªu Dao Qu¸n, trang phôc nam mµu lam phiªu dËt.	¿ıÎàÄĞåĞÒ£Í·À¶	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n (lam phiªu dËt)	0	108	456	10	0	0	100						2	1	1	2		\image\item\cap\åĞÒ£¹Ú¿ıÎàa1.spr	\image\item\cap\åĞÒ£¹Ú¿ıÎàa0.spr	Tiªu Dao Qu¸n, trang phôc nam mµu lam phiªu dËt.	¿ıÎàÄĞåĞÒ£Í·À¶	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n (lam phiªu dËt)	0	108	457	10	0	0	100						4	1	1	2		\image\item\cap\åĞÒ£¹Ú¿ıÎàa1.spr	\image\item\cap\åĞÒ£¹Ú¿ıÎàa0.spr	Tiªu Dao Qu¸n, trang phôc nam mµu lam phiªu dËt.	¿ıÎàÄĞåĞÒ£Í·À¶	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n (lam phiªu dËt)	0	108	458	10	0	0	100						5	1	1	2		\image\item\cap\åĞÒ£¹Ú¿ıÎàa1.spr	\image\item\cap\åĞÒ£¹Ú¿ıÎàa0.spr	Tiªu Dao Qu¸n, trang phôc nam mµu lam phiªu dËt.	¿ıÎàÄĞåĞÒ£Í·À¶	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n (lam phiªu dËt)	0	108	459	10	0	0	100						6	1	1	2		\image\item\cap\åĞÒ£¹Ú¿ıÎàa1.spr	\image\item\cap\åĞÒ£¹Ú¿ıÎàa0.spr	Tiªu Dao Qu¸n, trang phôc nam mµu lam phiªu dËt.	¿ıÎàÄĞåĞÒ£Í·À¶	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n (lam phiªu dËt)	0	108	460	10	0	0	100						7	1	1	2		\image\item\cap\åĞÒ£¹Ú¿ıÎàa1.spr	\image\item\cap\åĞÒ£¹Ú¿ıÎàa0.spr	Tiªu Dao Qu¸n, trang phôc nam mµu lam phiªu dËt.	¿ıÎàÄĞåĞÒ£Í·À¶	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n(lôc phãng kho¸ng)	0	108	461	10	0	0	100						1	1	1	2		\image\item\cap\åĞÒ£¹Ú¿ıÎàa1.spr	\image\item\cap\åĞÒ£¹Ú¿ıÎàa0.spr	Tiªu Dao Qu¸n, trang phôc nam mµu lôc phãng kho¸ng.	¿ıÎàÄĞåĞÒ£Í·ÂÌ	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n(lôc phãng kho¸ng)	0	108	462	10	0	0	100						2	1	1	2		\image\item\cap\åĞÒ£¹Ú¿ıÎàa1.spr	\image\item\cap\åĞÒ£¹Ú¿ıÎàa0.spr	Tiªu Dao Qu¸n, trang phôc nam mµu lôc phãng kho¸ng.	¿ıÎàÄĞåĞÒ£Í·ÂÌ	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n(lôc phãng kho¸ng)	0	108	463	10	0	0	100						4	1	1	2		\image\item\cap\åĞÒ£¹Ú¿ıÎàa1.spr	\image\item\cap\åĞÒ£¹Ú¿ıÎàa0.spr	Tiªu Dao Qu¸n, trang phôc nam mµu lôc phãng kho¸ng.	¿ıÎàÄĞåĞÒ£Í·ÂÌ	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n(lôc phãng kho¸ng)	0	108	464	10	0	0	100						5	1	1	2		\image\item\cap\åĞÒ£¹Ú¿ıÎàa1.spr	\image\item\cap\åĞÒ£¹Ú¿ıÎàa0.spr	Tiªu Dao Qu¸n, trang phôc nam mµu lôc phãng kho¸ng.	¿ıÎàÄĞåĞÒ£Í·ÂÌ	§· khãa		1	2	1		0					
Tiªu Dao Qu¸n(lôc phãng kho¸ng)	0	108	465	10	0	0	100						6	1	1	2		\image\item\cap\åĞÒ£¹Ú¿ıÎàa1.spr	\image\item\cap\åĞÒ£¹Ú¿ıÎàa0.spr	Tiªu Dao Qu¸n, trang phôc nam mµu lôc phãng kho¸ng.	¿ıÎàÄĞåĞÒ£Í·ÂÌ	§· khãa		1	2	1		0					
